species,genus,RRV_isolate,infectious.dose,perc.infected,unit,total.infect.exp,temp,day,ref
ae_aegypti,aedes,T48,7.5,89,PFU,39,27,,Ballard & Marshall 1986
ae_aegypti,aedes,T48,6.4,31,PFU,67,27,,Ballard & Marshall 1986
ae_aegypti,aedes,T48,5.5,31,PFU,55,27,,Ballard & Marshall 1986
ae_aegypti,aedes,T48,4.6,15,PFU,45,27,,Ballard & Marshall 1986
ae_aegypti,aedes,T48,5.9,100,SMIC,9,27,,Kay et al 1979
ae_alternans,aedes,5962,4.2,100,TCID50,2,27,1,Wells et al 1994
ae_alternans,aedes,5962,4.2,33,TCID50,3,27,6,Wells et al 1994
ae_alternans,aedes,5962,4.2,83,TCID50,6,27,10,Wells et al 1994
ae_alternans,aedes,5962,5.2,75,TCID50,4,27,1,Wells et al 1994
ae_alternans,aedes,5962,5.2,67,TCID50,3,27,3,Wells et al 1994
ae_alternans,aedes,5962,5.2,40,TCID50,5,27,6,Wells et al 1994
ae_alternans,aedes,5962,5.2,100,TCID50,3,27,8,Wells et al 1994
ae_alternans,aedes,5962,5.2,67,TCID50,15,27,10,Wells et al 1994
ae_alternans,aedes,5962,6.2,50,TCID50,4,27,1,Wells et al 1994
ae_alternans,aedes,5962,6.2,100,TCID50,4,27,3,Wells et al 1994
ae_alternans,aedes,5962,6.2,100,TCID50,1,27,6,Wells et al 1994
ae_alternans,aedes,5962,6.2,100,TCID50,6,27,10,Wells et al 1994
ae_camptorhynchus,aedes,T48,7.5,100,PFU,1,27,14,Ballard & Marshall 1986
ae_camptorhynchus,aedes,T48,6.8,89,PFU,9,27,14,Ballard & Marshall 1986
ae_camptorhynchus,aedes,T48,6.4,100,PFU,6,27,14,Ballard & Marshall 1986
ae_camptorhynchus,aedes,T48,5.9,100,PFU,4,27,14,Ballard & Marshall 1986
ae_camptorhynchus,aedes,T48,5.5,67,PFU,6,27,14,Ballard & Marshall 1986
ae_camptorhynchus,aedes,T48,4.6,17,PFU,6,27,14,Ballard & Marshall 1986
ae_multiplex,aedes,RR553,3.7,0,CCID50,45,28,10,"Ryan, Do, Kay 2000"
ae_multiplex,aedes,RR553,4.7,3,CCID50,30,28,10,"Ryan, Do, Kay 2000"
ae_multiplex,aedes,B94/20,5.7,0,CCID50,9,28,10,"Ryan, Do, Kay 2000"
ae_multiplex,aedes,RR553,6.7,3,CCID50,59,28,10,"Ryan, Do, Kay 2000"
ae_multiplex,aedes,B94/20,7.7,15,CCID50,8,28,10,"Ryan, Do, Kay 2000"
ae_multiplex,aedes,RR553,4.2,57,CCID50,44,28,10,"Ryan, Do, Kay 2000"
ae_multiplex,aedes,B94/20,5.2,58,CCID50,150,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,RR5962,6.7,70,TCID50,10,25,3,Doggett & Russell 1997
ae_notoscriptus,aedes,RR5962,6.7,50,TCID50,10,25,5,Doggett & Russell 1997
ae_notoscriptus,aedes,RR5962,6.7,50,TCID50,10,25,7,Doggett & Russell 1997
ae_notoscriptus,aedes,RR5962,6.7,70,TCID50,10,25,9,Doggett & Russell 1997
ae_notoscriptus,aedes,RR5962,6.7,40,TCID50,10,25,11,Doggett & Russell 1997
ae_notoscriptus,aedes,RR5962,6.7,50,TCID50,10,25,13,Doggett & Russell 1997
ae_notoscriptus,aedes,RR5962,6.7,0,TCID50,2,25,15,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,100,TCID50,10,25,3,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,100,TCID50,10,25,5,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,100,TCID50,10,25,7,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,70,TCID50,10,25,9,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,90,TCID50,10,25,11,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,100,TCID50,10,25,13,Doggett & Russell 1997
ae_notoscriptus,aedes,RR2186,6.6,100,TCID50,6,25,15,Doggett & Russell 1997
ae_notoscriptus,aedes,RR1693,4.5,0,CCID50,22,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,RR1693,5.5,20,CCID50,54,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,B94/20,5.7,15,CCID50,22,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,RR1693,6.5,36,CCID50,14,28,12,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,RR1693,6.5,35,CCID50,21,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,B94/20,6.7,60,CCID50,63,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,,B94/20,7.7,90,CCID50,10,28,7,"Ryan, Do, Kay 2000"
ae_notoscriptus,,B94/20,7.7,85,CCID50,13,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,,B94/20,7.7,65,CCID50,106,28,10,"Ryan, Do, Kay 2000"
ae_notoscriptus,aedes,B94/20,3.5,0,CCID50,28,25,9,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,4.5,5,CCID50,43,25,9,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,6,63,CCID50,30,25,9,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,85,CCID50,110,25,9,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,76,CCID50,21,25,4,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,82,CCID50,22,25,5,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,80,CCID50,15,25,7,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,93,CCID50,15,25,9,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,87,CCID50,15,25,12,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,100,CCID50,15,25,14,Watson & Kay 1998
ae_notoscriptus,aedes,B94/20,7.5,71,CCID50,7,25,17,Watson & Kay 1998
ae_procax,aedes,B94/20,5.7,30,CCID50,40,28,10,"Ryan, Do, Kay 2000"
ae_procax,aedes,B94/20,6.7,90,CCID50,21,28,10,"Ryan, Do, Kay 2000"
ae_procax,aedes,B94/20,7.7,95,CCID50,133,28,10,"Ryan, Do, Kay 2000"
ae_procax,aedes,B94/20,7.7,98,CCID50,49,28,9,"Ryan, Do, Kay 2000"
ae_procax,aedes,B94/20,7.7,100,CCID50,16,28,19,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,B94/20,4.2,67,CCID50,15,28,8,Jefferey et al 2002
ae_vigilax,aedes,B94/20,4.9,79,CCID50,14,28,8,Jefferey et al 2002
ae_vigilax,aedes,B94/20,5.6,100,CCID50,13,28,8,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,93,CCID50,14,28,8,Jefferey et al 2002
ae_vigilax,aedes,B94/20,7,100,CCID50,12,28,8,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,100,CCID50,10,28,2,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,100,CCID50,10,28,4,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,90,CCID50,10,28,6,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,100,CCID50,10,28,8,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,100,CCID50,10,28,10,Jefferey et al 2002
ae_vigilax,aedes,B94/20,6.3,100,CCID50,8,28,12,Jefferey et al 2002
ae_vigilax,aedes,T48,4.5,0,SMIC,30,28,10,Kay 1982
ae_vigilax,aedes,T48,5.5,0,SMIC,24,28,10,Kay 1982
ae_vigilax,aedes,T48,6.5,17,SMIC,30,28,10,Kay 1982
ae_vigilax,aedes,T48,6.7,69,SMIC,16,28,10,Kay 1982
ae_vigilax,aedes,T48,7,83,SMIC,6,28,10,Kay 1982
ae_vigilax,aedes,T48,7.5,77,SMIC,65,28,10,Kay 1982
ae_vigilax,aedes,T48,8.6,85,SMIC,26,28,10,Kay 1982
ae_vigilax,aedes,T48,9,100,SMIC,19,28,10,Kay 1982
ae_vigilax,aedes,"ATCC, CCL-81",8.1,79,TCID50,19,28,8,Ramirez et al. 2018
ae_vigilax,aedes,"ATCC, CCL-81",8.1,89,TCID50,19,28,11,Ramirez et al. 2018
ae_vigilax,aedes,"ATCC, CCL-81",8.1,76,TCID50,17,28,15,Ramirez et al. 2018
ae_vigilax,aedes,B94/20,5.7,19,CCID50,51,28,10,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,B94/20,6.7,70,CCID50,33,28,10,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,B94/20,7.7,86,CCID50,118,28,10,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,B94/20,7.7,64,CCID50,22,28,4,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,B94/20,7.7,92,CCID50,12,28,7,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,B94/20,7.7,90,CCID50,10,28,8,"Ryan, Do, Kay 2000"
ae_vigilax,aedes,T48,2.9,0,TCID50,14,22-26,5,Vale et al 1992
ae_vigilax,aedes,T48,4.6,4,TCID50,24,22-26,5,Vale et al 1992
ae_vigilax,aedes,T48,5.7,29,TCID50,24,22-26,5,Vale et al 1992
ae_vigilax,aedes,T48,6.5,86,TCID50,22,22-26,5,Vale et al 1992
ae_vigilax,aedes,T48,7.9,91,TCID50,11,22-26,5,Vale et al 1992
ae_vigilax,aedes,B94/20,6.3,97,TCID50/mL,34,27,12,"Jefferey, J.A.L.; Kay, B.H.; Ryan, P.A. Role of Verrallina funerea (Diptera: Culicidae) in transmission of Barmah Forest virus and Ross River virus in coastal areas of eastern Australia. Journal of Medical Entomology 2006, 43, 1239-1247."
ae_vigilax,aedes,B94/20,6.3,77,TCID50/mL,13,27,12,"Jefferey, J.A.L.; Kay, B.H.; Ryan, P.A. Role of Verrallina funerea (Diptera: Culicidae) in transmission of Barmah Forest virus and Ross River virus in coastal areas of eastern Australia. Journal of Medical Entomology 2006, 43, 1239-1247."
ae_vigilax,aedes,B94/20,6.3,91,TCID50/mL,23,27,12,"Jefferey, J.A.L.; Kay, B.H.; Ryan, P.A. Role of Verrallina funerea (Diptera: Culicidae) in transmission of Barmah Forest virus and Ross River virus in coastal areas of eastern Australia. Journal of Medical Entomology 2006, 43, 1239-1247."
ae_vigilax,aedes,B94/20,6.3,97,TCID50/mL,30,27,12,"Jefferey, J.A.L.; Kay, B.H.; Ryan, P.A. Role of Verrallina funerea (Diptera: Culicidae) in transmission of Barmah Forest virus and Ross River virus in coastal areas of eastern Australia. Journal of Medical Entomology 2006, 43, 1239-1247."
ae_vigilax,aedes,B94/20,5.1,45,TCID50/mL,20,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,6.4,80,TCID50/mL,20,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,7.4,94,TCID50/mL,83,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,3.2,10,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,3.2,0,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,3.2,10,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,4.4,40,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,4.4,50,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,4.4,20,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,6.3,80,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,6.3,80,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,6.3,60,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,7.2,90,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,aedes,B94/20,7.2,90,TCID50/mL,10,28,10,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
